COPARTICIPAÇÃO - MEDIDA CERTA 50
Esteja ciente de que os valores apresentados abaixo são APROXIMADOS, podendo haver
mudanças a qualquer momento, sem aviso prévio.
ANESTESIA 	VALOR APROX.
Anestesia para exames de ultrassonografia 	R$ 	52,16
Anestesia para exames de ressonância magnética 	R$ 	76,11
Anestesia para exames de tomografia computadorizada 	R$ 	51,57
AUDIOMETRIA 	VALOR APROX.
AUDIOMETRIA DE TRONCO CEREBRAL (PEA) BERA 	R$ 	43,53
AUDIOMETRIA TONAL LIMIAR COM TESTES DE DISCRIMINAÇÃO 	R$ 	10,70
AUDIOMETRIA TONAL LIMIAR INFANTIL CONDICIONADA (QUALQUER TÉCNICA) - PEEP-SHOW 	R$ 	16,82
AUDIOMETRIA VOCAL - PESQUISA DE LIMIAR DE DISCRIMINAÇÃO 	R$ 	4,25
AUDIOMETRIA VOCAL - PESQUISA DE LIMIAR DE INTELIGIBILIDADE 	R$ 	5,14
CINTILOGRAFIA 	VALOR APROX.
CINTILOGRAFIA ÓSSEA (CORPO TOTAL) 	R$ 	108,32
DENITOMETRIA 	VALOR APROX.
DENSITOMETRIA ÓSSEA - 2 SEGMENTOS (COLUNA E FÊMUR) 	R$ 	46,44
DENSITOMETRIA ÓSSEA - CORPO INTEIRO 	R$ 	82,24
DENSITOMETRIA ÓSSEA (UM SEGMENTO) 	R$ 	46,50
ECOCARDIOGRAMA/ENDOSCOPIA E POLISSONOGRAFIA 	VALOR APROX.
ECG CONVENCIONAL DE ATÉ 12 DERIVAÇÕES 	R$ 	9,07
ECODOPPLERCARDIOGRAMA TRANSTORÁCICO 	R$ 	58,82
ECODOPPLERCARDIOGRAMA TRANSTORÁCICO 	R$ 	58,82
EEGQ QUANTITATIVO (MAPEAMENTO CEREBRAL) 	R$ 	99,94
ELETRENCEFALOGRAMA ESPECIAL: TERAPIA INTENSIVA, MORTE ENCEFÁLICA, EEG PROLONGADO (ATÉ 2 HORAS) 	R$ 	33,90
ENDOSCOPIA DIGESTIVA ALTA COM BIÓPSIA E/OU CITOLOGIA 	R$ 	134,39
POLISSONOGRAMA COM EEG DE NOITE INTEIRA 	R$ 	175,00
VÍDEO-ENDOSCOPIA NASO-SINUSAL COM ÓTICA FLEXÍVEL 	R$ 	38,32
VÍDEO-ENDOSCOPIA NASO-SINUSAL COM ÓTICA RÍGIDA 	R$ 	38,70
EXAMES LABORATORIAIS 	VALOR APROX.
ÁCIDO ÚRICO - PESQUISA E OU DOSAGEM 	R$ 	1,50
ANTÍGENO ESPECÍFICO PROSTÁTICO TOTAL (PSA) - PESQUISA E OU DOSAGEM 	R$ 	15,75
CULTURA, URINA COM CONTAGEM DE COLÔNIAS 	R$ 	9,08
GLICOSE - PESQUISA E OU DOSAGEM 	R$ 	2,02
HEMOGRAMA COM CONTAGEM DE PLAQUETAS OU FRAÇÕES (ERITROGRAMA, LEUCOGRAMA, PLAQUETAS) 	R$ 	4,41
ROTINA DE URINA (CARACTERES FÍSICOS, ELEMENTOS ANORMAIS E SEDIMENTOSCOPIA) 	R$ 	3,51
T3 LIVRE 	R$ 	10,71
T4 LIVRE - PESQUISA E OU DOSAGEM 	R$ 	10,73
TESTOSTERONA LIVRE 	R$ 	18,90
TIREOESTIMULANTE, HORMÔNIO (TSH) - PESQUISA E OU DOSAGEM 	R$ 	10,80
TIROXINA (T4) - PESQUISA E OU DOSAGEM 	R$ 	8,19
TRANSAMINASE OXALACÉTICA (AMINO TRANSFERASE ASPARTATO) - PESQUISA E OU DOSAGEM 	R$ 	2,74
TRANSAMINASE PIRÚVICA (AMINO TRANSFERASE DE ALANINA) - PESQUISA E OU DOSAGEM 	R$ 	1,97
TRIGLICERÍDEOS - PESQUISA E OU DOSAGEM 	R$ 	3,25
URÉIA 	R$ 	1,94
EXAMES OFTALMOLOGICOS 	VALOR APROX.
CERATOSCOPIA COMPUTADORIZADA - MONOCULAR 	R$ 	35,64
MAPEAMENTO DE RETINA (OFTALMOSCOPIA INDIRETA) - MONOCULAR 	R$ 	11,59
TOMOGRAFIA DE COERÊNCIA ÓPTICA - MONOCULAR 	R$ 	65,26
TONOMETRIA - BINOCULAR 	R$ 	4,25

-- 1 of 3 --

EXAMES GINECOLÓGICOS 	VALOR APROX.
PROCEDIMENTO DIAGNÓSTICO EM CITOPATOLOGIA CÉRVICO-VAGINAL ONCÓTICA 	R$ 	12,29
US - OBSTÉTRICA 	R$ 	34,19
US - OBSTÉTRICA 1º TRIMESTRE (ENDOVAGINAL) 	R$ 	37,77
US - OBSTÉTRICA COM DOPPLER COLORIDO 	R$ 	75,00
US - OBSTÉTRICA COM TRANSLUCÊNCIA NUCAL 	R$ 	54,30
US - OBSTÉTRICA GESTAÇÃO MÚLTIPLA: CADA FETO 	R$ 	35,62
US - OBSTÉTRICA MORFOLÓGICA 	R$ 	56,09
US - OBSTÉTRICA: PERFIL BIOFÍSICO FETAL 	R$ 	38,57
US - TRANSVAGINAL (ÚTERO, OVÁRIO, ANEXOS E VAGINA) 	R$ 	43,72
US - TRANSVAGINAL PARA CONTROLE DE OVULAÇÃO (3 OU MAIS EXAMES) 	R$ 	80,39
MAMOGRAFIA E US MAMAS 	VALOR APROX.
MAMOGRAFIA CONVENCIONAL BILATERAL 	R$ 	50,90
MAMOGRAFIA DIGITAL BILATERAL 	R$ 	50,18
US - ABDOME INFERIOR FEMININO (BEXIGA, ÚTERO, OVÁRIO E ANEXOS) 	R$ 	43,54
US - MAMAS 	R$ 	34,18
RX 	VALOR APROX.
RX - ABDOME AGUDO 	R$ 	18,92
RX - ABDOME SIMPLES 	R$ 	10,13
RX - ADENÓIDES OU CAVUM 	R$ 	10,41
RX - ANTEBRAÇO 	R$ 	8,61
RX - ARTICULAÇÃO ACROMIOCLAVICULAR 	R$ 	11,09
RX - ARTICULAÇÃO COXOFEMORAL (QUADRIL) 	R$ 	11,05
RX - ARTICULAÇÃO ESCAPULOUMERAL (OMBRO) 	R$ 	10,56
RX - ARTICULAÇÃO TIBIOTÁRSICA (TORNOZELO) 	R$ 	9,10
RX - ARTICULAÇÕES SACROILÍACAS 	R$ 	11,73
RX - BACIA 	R$ 	9,63
RX - BRAÇO 	R$ 	10,47
RX - CALCÂNEO 	R$ 	9,18
RX - CLAVÍCULA 	R$ 	10,89
RX - CLISTER OU ENEMA OPACO (DUPLO CONTRASTE) 	R$ 	24,18
RX - COLUNA CERVICAL - 3 INCIDÊNCIAS 	R$ 	10,93
RX - COLUNA CERVICAL - 5 INCIDÊNCIAS 	R$ 	11,62
RX - COLUNA DORSAL - 2 INCIDÊNCIAS 	R$ 	12,00
RX - COLUNA DORSAL - 4 INCIDÊNCIAS 	R$ 	11,50
RX - COLUNA DORSO-LOMBAR PARA ESCOLIOSE 	R$ 	13,45
RX - COLUNA LOMBO-SACRA - 3 INCIDÊNCIAS 	R$ 	12,97
RX - COLUNA LOMBO-SACRA - 5 INCIDÊNCIAS 	R$ 	14,13
RX - COLUNA TOTAL PARA ESCOLIOSE (TELESPONDILOGRAFIA) 	R$ 	21,09
RX - COSTELAS - POR HEMITÓRAX 	R$ 	12,21
RX - COTOVELO 	R$ 	8,89
RX - COXA 	R$ 	10,33
RX - CRÂNIO - 2 INCIDÊNCIAS 	R$ 	11,03
RX - ESCANOMETRIA 	R$ 	10,98
RX - ESÔFAGO 	R$ 	11,17
RX - ESÔFAGO - HIATO - ESTÔMAGO E DUODENO 	R$ 	26,50
RX - ESTERNO 	R$ 	12,02
RX - JOELHO 	R$ 	9,72
RX - MÃO OU QUIRODÁCTILO 	R$ 	9,13
RX - MÃOS E PUNHOS PARA IDADE ÓSSEA 	R$ 	9,27
RX - OMOPLATA OU ESCÁPULA 	R$ 	11,88
RX - OSSOS DA FACE 	R$ 	11,55
RX - PANORÂMICA DE MANDÍBULA (ORTOPANTOMOGRAFIA) 	R$ 	27,17
RX - PANORÂMICA DOS MEMBROS INFERIORES 	R$ 	17,14
RX - PATELA 	R$ 	10,77
RX - PÉ OU PODODÁCTILO 	R$ 	9,61
RX - PERNA 	R$ 	10,81
RX - PUNHO 	R$ 	9,07
RX - SACRO-COCCIX 	R$ 	11,44
RX - SEIOS DA FACE 	R$ 	11,69
RX - TÓRAX - 1 INCIDÊNCIA 	R$ 	9,30
RX - TÓRAX - 2 INCIDÊNCIAS 	R$ 	10,33
RX - TÓRAX - 3 INCIDÊNCIAS 	R$ 	12,62
RX - TRÂNSITO E MORFOLOGIA DO DELGADO 	R$ 	28,79
RX - VIDEODEGLUTOGRAMA 	R$ 	97,63

-- 2 of 3 --

SESSÕES 	VALOR APROX.
CONSULTA AMBULATORIAL EM FISIOTERAPIA 	R$ 	25,97
CONSULTA EM PSICOLOGIA 	R$ 	21,77
CONSULTA INDIVIDUAL AMBULATORIAL EM FONOAUDIOLOGIA PARA AUTISMO 	R$ 	26,84
SESSÃO DE PSICOMOTRICIDADE INDIVIDUAL 	R$ 	14,48
SESSAO DE PSICOPEGAGOGIA 	R$ 	14,48
